class_id,id,enrolled,capacity,message,timestamp
WINTER 2024 22608,98960,9,30,"",2023-11-21 00:00:00.000000
WINTER 2024 54882,98961,30,30,"",2023-11-21 00:00:00.000000
WINTER 2024 54890,98962,12,30,"",2023-11-21 00:00:00.000000
WINTER 2024 22624,98963,0,10,"",2023-11-21 00:00:00.000000
WINTER 2024 22632,98964,0,15,"",2023-11-21 00:00:00.000000
WINTER 2024 22640,98965,0,15,"",2023-11-21 00:00:00.000000
WINTER 2024 22657,98966,0,15,"",2023-11-21 00:00:00.000000
WINTER 2024 35287,98967,0,0,"",2023-11-21 00:00:00.000000
WINTER 2024 29058,98968,144,150,"",2023-11-21 00:00:00.000000
WINTER 2024 29124,98969,130,150,"",2023-11-21 00:00:00.000000
WINTER 2024 29215,98970,24,75,"",2023-11-21 00:00:00.000000
WINTER 2024 29272,98971,100,100,"",2023-11-21 00:00:00.000000
WINTER 2024 29322,98972,250,300,"",2023-11-21 00:00:00.000000
WINTER 2024 29454,98973,400,500,"",2023-11-21 00:00:00.000000
WINTER 2024 29678,98974,254,354,"",2023-11-21 00:00:00.000000
WINTER 2024 29827,98975,150,150,"",2023-11-21 00:00:00.000000
WINTER 2024 53579,98976,150,150,"",2023-11-21 00:00:00.000000
WINTER 2024 29892,98977,150,150,"",2023-11-21 00:00:00.000000
WINTER 2024 29967,98978,133,150,"",2023-11-21 00:00:00.000000
WINTER 2024 30031,98979,150,150,"",2023-11-21 00:00:00.000000
WINTER 2024 30106,98980,28,100,"",2023-11-21 00:00:00.000000
WINTER 2024 30171,98981,149,150,"",2023-11-21 00:00:00.000000
WINTER 2024 30247,98982,35,35,"",2023-11-21 00:00:00.000000
WINTER 2024 30270,98983,5,35,"",2023-11-21 00:00:00.000000
WINTER 2024 30304,98984,7,35,"",2023-11-21 00:00:00.000000
WINTER 2024 30338,98985,13,35,"",2023-11-21 00:00:00.000000
WINTER 2024 30361,98986,27,35,"",2023-11-21 00:00:00.000000
WINTER 2024 30395,98987,10,35,"",2023-11-21 00:00:00.000000
WINTER 2024 30452,98988,8,35,"",2023-11-21 00:00:00.000000
WINTER 2024 30486,98989,250,300,"",2023-11-21 00:00:00.000000
WINTER 2024 30601,98990,400,450,"",2023-11-21 00:00:00.000000
WINTER 2024 30791,98991,581,600,"",2023-11-21 00:00:00.000000
WINTER 2024 31054,98992,38,45,"",2023-11-21 00:00:00.000000
WINTER 2024 31583,98993,14,20,"",2023-11-21 00:00:00.000000
WINTER 2024 31062,98994,11,45,"",2023-11-21 00:00:00.000000
WINTER 2024 31070,98995,60,60,"",2023-11-21 00:00:00.000000
WINTER 2024 31088,98996,40,45,"",2023-11-21 00:00:00.000000
WINTER 2024 31096,98997,65,65,"",2023-11-21 00:00:00.000000
WINTER 2024 31104,98998,52,65,"",2023-11-21 00:00:00.000000
WINTER 2024 31112,98999,60,60,"",2023-11-21 00:00:00.000000
WINTER 2024 31120,99000,60,60,"",2023-11-21 00:00:00.000000
WINTER 2024 31591,99001,18,20,"",2023-11-21 00:00:00.000000
WINTER 2024 31138,99002,53,60,"",2023-11-21 00:00:00.000000
WINTER 2024 31146,99003,49,60,"",2023-11-21 00:00:00.000000
WINTER 2024 31153,99004,45,45,"",2023-11-21 00:00:00.000000
WINTER 2024 31161,99005,18,50,"",2023-11-21 00:00:00.000000
