id,enrollment_code,class_id,days,time,location
WINTER 2022 05835,05835,WINTER 2022 05702,0001000,"(""1900-01-01 17:30:00"",""1900-01-01 21:20:00"")",PSB-N1670
WINTER 2022 05843,05843,WINTER 2022 05702,0100000,"(""1900-01-01 08:00:00"",""1900-01-01 11:50:00"")",PSB-N1652
WINTER 2022 05850,05850,WINTER 2022 05702,0001000,"(""1900-01-01 08:00:00"",""1900-01-01 11:50:00"")",PSB-N1662
WINTER 2022 05868,05868,WINTER 2022 05702,0000100,"(""1900-01-01 08:00:00"",""1900-01-01 11:50:00"")",PSB-N1670
WINTER 2022 05876,05876,WINTER 2022 05702,0000100,"(""1900-01-01 13:00:00"",""1900-01-01 16:50:00"")",PSB-N1652
WINTER 2022 06155,06155,WINTER 2022 06155,1000000,"(""1900-01-01 11:00:00"",""1900-01-01 11:50:00"")",GIRV 2115
WINTER 2022 06163,06163,WINTER 2022 06155,1000000,"(""1900-01-01 13:00:00"",""1900-01-01 13:50:00"")",HSSB 4201
WINTER 2022 06171,06171,WINTER 2022 06155,1000000,"(""1900-01-01 14:00:00"",""1900-01-01 14:50:00"")",ELLSN2816
WINTER 2022 63917,63917,WINTER 2022 06155,1000000,"(""1900-01-01 12:00:00"",""1900-01-01 12:50:00"")",GIRV 1106
WINTER 2022 06205,06205,WINTER 2022 06205,0000100,"(""1900-01-01 10:00:00"",""1900-01-01 10:50:00"")",GIRV 1108
WINTER 2022 06213,06213,WINTER 2022 06205,0000100,"(""1900-01-01 13:00:00"",""1900-01-01 13:50:00"")",GIRV 1108
WINTER 2022 06221,06221,WINTER 2022 06205,0000100,"(""1900-01-01 09:00:00"",""1900-01-01 09:50:00"")",HSSB 1231
WINTER 2022 06239,06239,WINTER 2022 06205,0000100,"(""1900-01-01 13:00:00"",""1900-01-01 13:50:00"")",HSSB 1232
WINTER 2022 06254,06254,WINTER 2022 06205,0010000,"(""1900-01-01 12:00:00"",""1900-01-01 12:50:00"")",HSSB 2202
