class_id,instructor_id
55962,VGVhY2hlci0yNjU3NTAw
55962,VGVhY2hlci0yMjA2NzQx
62604,VGVhY2hlci01NDY4Nw==
62984,VGVhY2hlci0yNDk4NzYw
73221,VGVhY2hlci0xNjQxMjk=
76737,VGVhY2hlci0xNjQxMjk=
26914,VGVhY2hlci0yNTAyMzY4
62810,VGVhY2hlci04OTUwMjE=
55970,VGVhY2hlci0yNTk3OTUz
55988/1,VGVhY2hlci0xMjcyNDk5
62711,VGVhY2hlci0xNTM3NTgy
62885,VGVhY2hlci0yMTg0MzE0
62885,VGVhY2hlci0yMDQzMDE5
62836,VGVhY2hlci00ODY2ODQ=
62836,VGVhY2hlci0yNTcyMTc2
26971,VGVhY2hlci04MjMyMTk=
26997,VGVhY2hlci0xOTg3NjU5
27003,VGVhY2hlci0xOTg3NjU5
27029,VGVhY2hlci00NDE3MTI=
27136,VGVhY2hlci0xNTA2NTM3
27151,VGVhY2hlci0xNTA2NTM3
27169,VGVhY2hlci0xNTA2NTM3
27177,VGVhY2hlci00MDY1NzQ=
27185,VGVhY2hlci00MDY1NzQ=
52373,VGVhY2hlci01NDYxMzE=
27193,VGVhY2hlci01NDYxMzE=
27201,VGVhY2hlci00MDY1NzQ=
54395,VGVhY2hlci0zNjEyMzY=
27235,VGVhY2hlci0zNjEyMzY=
63305,VGVhY2hlci01NDYxMzE=
61879,VGVhY2hlci0yNjU3NTAw
61853,VGVhY2hlci0yNjU3NTAw
61861,VGVhY2hlci04MjE3NTg=
27359,VGVhY2hlci0xMTAyMTM3
